Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Vegetarian Sausage Links,0000000053,Food - Meat Substitutes,2026-05-06,MiX Telematics Limited,827.8,539
Reusable Produce Bags Set,0000000054,Kitchen,2025-08-06,"Five Below, Inc.",274.84,402
Customizable Photo Calendar,0000000055,Books,2026-05-28,Vanguard Total International Stock ETF,604.35,253
Vegan Chocolate Cake Mix,0000000056,Food - Baking,2026-08-08,Quanex Building Products Corporation,742.19,54
Indian Curry Sauce,0000000057,Food - Condiments,2026-12-25,Luxfer Holdings PLC,955.86,647
Wireless Charging Pad,0000000058,Accessories,2025-07-04,Century Aluminum Company,426.52,399
Avocados,0000000059,Food - Produce,2025-06-23,Internap Corporation,160.89,294
Teriyaki Stir-Fry Sauce,0000000060,Food - Condiments,2026-04-21,ICON plc,903.54,3
Bamboo Cotton Tank Top,0000000061,Clothing - Tops,2025-08-09,Deltic Timber Corporation,497.61,170
Fresh Strawberries,0000000062,Food - Produce,2025-10-22,SandRidge Permian Trust,998.84,424
Beef Stroganoff Meal Kit,0000000063,Food - Frozen Meals,2026-12-27,Gabelli Global Small and Mid Cap Value Trust (The),584.64,224
Sturdy Bookends,0000000064,Office,2025-09-26,"GenMark Diagnostics, Inc.",556.98,59
Board Game,0000000065,Toys,2026-03-05,Principal Financial Group Inc,399.26,867
Ginger Turmeric Latte Mix,0000000066,Food - Beverages,2026-05-10,Nuveen New Jersey Quality Municipal Income Fund,74.81,798
Tofu,0000000067,Food - Meat Alternatives,2025-05-05,"Hyster-Yale Materials Handling, Inc.",484.17,636
Flavored Popcorn Mix,0000000068,Food - Snacks,2026-03-18,NeuroDerm Ltd.,671.82,339
Water Bottle with Built-in Fruit Infuser,0000000069,Fitness,2026-01-10,Itau Unibanco Banco Holding SA,611.81,158
Coconut Curry Chicken,0000000070,Food - Frozen Foods,2025-05-15,Sify Technologies Limited,619.5,402
Fleece Lined Leggings,0000000071,Clothing,2026-09-02,Kemper Corporation,6.89,946
Dog Training Collar,0000000072,Pets,2026-06-13,Wheaton Precious Metals Corp.,25.49,202
Chicken Fajita Kit,0000000073,Food - Prepared Foods,2026-04-01,O2Micro International Limited,587.24,24
Wine Glasses,0000000074,Home,2025-12-18,"Schnitzer Steel Industries, Inc.",387.28,500
DIY Candle Kit,0000000075,Crafts,2026-07-24,Stonegate Bank,731.59,237
Maple Glazed Carrots,0000000076,Food - Prepared Foods,2025-10-10,"MGP Ingredients, Inc.",982.46,884
Pet Hair Remover,0000000077,Pets,2025-06-10,Function(x) Inc.,996.59,853
Foldable Yoga Mat Carry Bag,0000000078,Fitness,2026-08-09,Pure Cycle Corporation,337.65,736
Sweet Chili Thai Sauce,0000000079,Food - Condiments,2026-06-03,"SPI Energy Co., Ltd.",426.67,585
Vegan Taco Seasoning,0000000080,Food - Spices,2026-01-11,Rand Capital Corporation,159.25,305
Yoga Blocks,0000000081,Fitness,2026-01-20,OceanFirst Financial Corp.,331.19,248
Cinnamon Spiced Almonds,0000000082,Food - Snacks,2026-05-31,CounterPath Corporation,995.74,580
Stainless Steel Cutlery Set,0000000083,Kitchen,2026-08-18,Pimco Global Stocksplus & Income Fund,611.68,597
Portable Dog Water Bottle,0000000084,Pets,2026-07-02,RPM International Inc.,744.58,579
Kids' Dinosaur-Themed Lunchbox,0000000085,Accessories,2025-12-14,Albemarle Corporation,222.77,583
Customizable Wall Calendar,0000000086,Office,2026-07-12,"Great Western Bancorp, Inc.",419.69,468
Ginger Turmeric Shots,0000000087,Food - Beverages,2025-05-22,Blackrock Municipal 2018 Term Trust,642.26,986
Homestyle Beef Stew,0000000088,Food - Canned Soups,2025-08-13,M&T Bank Corporation,679.58,255
Digital Kitchen Timer,0000000089,Kitchen,2026-09-14,"Allied Healthcare Products, Inc.",229.6,438
Yoga Blocks,0000000090,Fitness,2026-02-27,Calgon Carbon Corporation,167.95,394
Vegan Protein Powder,0000000091,Health,2025-11-29,Viavi Solutions Inc.,802.69,605
Car Vacuum Cleaner,0000000092,Automotive,2026-08-20,"ServisFirst Bancshares, Inc.",883.16,1000
Zesty Cilantro Lime Dressing,0000000093,Food - Condiments,2026-08-04,Lennar Corporation,174.23,540
Portable Air Conditioner,0000000094,Home Appliances,2026-08-14,"NewStar Financial, Inc.",989.37,890
Folding Backpack Chair,0000000095,Outdoor,2026-07-16,PartnerRe Ltd.,308.34,608
Electric Wax Warmer,0000000096,Home,2026-12-04,"Arrowhead Pharmaceuticals, Inc.",307.05,220
Honey BBQ Ribs,0000000097,Food - Meat,2026-08-20,"j2 Global, Inc.",416.0,408
Car Escape Tool,0000000098,Automotive,2026-02-08,Owens Corning Inc,946.51,950
Organic Quinoa Salad,0000000099,Food - Prepared Meals,2026-12-03,"B. Riley Financial, Inc.",285.04,676
Granola Bars,0000000100,Food - Snacks,2025-11-17,"AgroFresh Solutions, Inc.",491.2,275
Watercolor Set,0000000101,Art Supplies,2025-04-17,"Terra Nitrogen Company, L.P.",866.08,833
Kale Chips,0000000102,Food - Snacks,2025-04-30,John Hancock Premium Dividend Fund,206.25,592
Chocolate Protein Powder,0000000103,Food - Supplements,2025-12-05,"Peak Resorts, Inc.",311.6,701
Chopping Board,0000000104,Kitchen,2026-03-29,The Obesity ETF,299.99,64
Spicy BBQ Sauce,0000000105,Food - Condiments,2025-10-02,HSBC Holdings plc,559.53,681
Canvas High-Top Sneakers,0000000106,Clothing - Footwear,2025-11-27,"Comstock Resources, Inc.",50.07,24
Fresh Cilantro,0000000107,Food - Produce,2025-05-21,Caesarstone Ltd.,621.51,997
Garden Vegetable Soup,0000000108,Food - Canned Goods,2025-06-22,Teekay Offshore Partners L.P.,857.75,989
Smashed Avocado with Lime,0000000109,Food - Condiments,2026-01-10,MB Financial Inc.,456.58,589
LED Disco Ball Light,0000000110,Home,2025-07-31,"Oppenheimer Holdings, Inc.",32.76,611
Heat-Resistant Silicone Mat,0000000111,Kitchen,2025-12-12,Arlington Asset Investment Corp,123.33,707
Scented Soy Candles,0000000112,Home,2025-12-21,Kemper Corporation,158.95,953
Organic Honeycrisp Apples,0000000113,Food - Fruits,2026-07-29,Columbus McKinnon Corporation,546.78,104
Banana Nut Muffins,0000000114,Food - Bakery,2025-07-24,"Ferrellgas Partners, L.P.",528.12,64
Organic Green Tea,0000000115,Food - Beverages,2025-09-19,"Sound Financial Bancorp, Inc.",970.88,337
Nutritional Yeast,0000000116,Food - Pantry,2025-12-15,Sussex Bancorp,903.87,419
Margherita Pizza,0000000117,Food - Frozen Foods,2026-06-21,Seanergy Maritime Holdings Corp,873.66,455
Rechargeable Laptop Battery Pack,0000000118,Electronics,2026-11-29,"Ormat Technologies, Inc.",813.57,10
Dog Training Whistle,0000000119,Pets,2025-12-05,ManTech International Corporation,486.28,261
Hair Dryer,0000000120,Beauty,2026-01-21,"Easterly Government Properties, Inc.",887.99,935
Shoe Organizer,0000000121,Home,2026-11-17,"Eastern Virginia Bankshares, Inc.",474.17,709
Chia Seeds,0000000122,Food - Grains,2026-09-22,Macquarie Infrastructure Company,911.12,624
Bird Feeder,0000000123,Outdoor,2025-07-19,DDR Corp.,904.23,625
Butternut Squash Soup,0000000124,Food - Soups,2025-08-23,"Consumer Portfolio Services, Inc.",453.45,570
Magnetic Curtain Tiebacks,0000000125,Home,2025-06-07,"LM Funding America, Inc.",881.45,793
Classic White T-Shirt,0000000126,Clothing - Tops,2025-09-19,"Enviva Partners, LP",172.31,540
Outdoor Sports Backpack,0000000127,Outdoor,2026-07-04,General Dynamics Corporation,690.25,610
Self-Watering Planters,0000000128,Garden,2025-12-29,"USANA Health Sciences, Inc.",446.04,250
Compact Shoe Rack,0000000129,Home,2025-08-13,First Trust,503.78,310
Portable Electric Fan,0000000130,Home,2026-02-14,Pzena Investment Management Inc,132.03,841
Crispy Chickpeas,0000000131,Food - Snacks,2026-06-11,Oasmia Pharmaceutical AB,133.03,982
Induction Cooktop,0000000132,Kitchen,2025-11-05,Tellurian Inc.,312.78,276
Frozen Salmon Filets,0000000133,Food - Seafood,2026-08-17,"Calithera Biosciences, Inc.",844.99,432
Canvas Tote Bag,0000000134,Clothing - Accessories,2025-06-25,Sanofi,111.47,30
Cheese Stuffed Jalapenos,0000000135,Food - Snacks,2026-02-14,MGE Energy Inc.,617.1,255
Microwave Popcorn Maker,0000000136,Kitchen,2026-11-04,Analogic Corporation,648.37,48
Mediterranean Olives,0000000137,Food - Condiments,2026-01-08,Scorpio Tankers Inc.,851.54,376
Yoga Mat,0000000138,Fitness,2025-06-10,Lam Research Corporation,607.94,834
Sesame Garlic Noodles,0000000139,Food - Pasta,2025-09-08,Shire plc,555.07,808
Outdoor Folding Table,0000000140,Outdoor,2026-12-28,Wells Fargo & Company,642.52,258
Scented Candle Set,0000000141,Home,2026-03-21,Bio-Techne Corp,389.18,136
Chili Lime Seasoning,0000000142,Food - Spices,2026-12-27,Columbia Sportswear Company,722.0,156
Wireless Earbuds Case,0000000143,Accessories,2026-03-21,Royal Bank Scotland plc (The),827.51,858
Mango Chilli Sauce,0000000144,Food - Condiments,2026-07-06,Educational Development Corporation,771.49,939
Hibiscus Tea Bags,0000000145,Food - Beverages,2025-06-22,ResMed Inc.,429.1,542
Trainers with Mesh Inserts,0000000146,Clothing - Footwear,2025-07-19,Gladstone Investment Corporation,879.34,737
Wooden Children's Play Kitchen,0000000147,Toys,2025-10-07,Wells Fargo & Company,368.48,855
French Onion Dip,0000000148,Food - Condiments,2026-09-21,Pembina Pipeline Corp.,460.95,779
Deep Tissue Massage Gun,0000000149,Health,2026-08-26,ENDRA Life Sciences Inc.,283.69,193
Lemon Sorbet,0000000150,Food - Frozen Desserts,2026-08-03,Macerich Company (The),274.06,933
Desk Lamp with USB Port,0000000151,Office,2025-09-23,"County Bancorp, Inc.",206.79,994
Frozen Mixed Berries,0000000152,Food - Frozen Foods,2026-10-28,"Alexandria Real Estate Equities, Inc.",668.13,664
Vegetable Fried Rice Mix,0000000153,Food - Frozen Food,2026-07-30,"Apple Hospitality REIT, Inc.",217.15,700
Woven Storage Baskets,0000000154,Home,2026-12-01,Investors Title Company,507.42,861
Portable Solar Charger,0000000155,Electronics,2025-11-07,Invitation Homes Inc.,26.72,322
Dark Chocolate Tart,0000000156,Food - Desserts,2025-05-14,Vanguard Total International Bond ETF,142.91,874
Interactive Robot Toy,0000000157,Toys,2026-06-27,"Internet Initiative Japan, Inc.",444.5,867
Ground Cinnamon,0000000158,Food - Spices,2026-05-22,"Rockwell Medical, Inc.",662.28,447
Organic Green Tea,0000000159,Food - Beverages,2025-04-29,Ally Financial Inc.,264.29,302
Blueberry Chia Jam,0000000160,Food - Spreads,2026-12-10,"Affiliated Managers Group, Inc.",769.73,365
Mushrooms,0000000161,Food - Produce,2026-05-18,Vedanta  Limited,498.41,496
Honey Roasted Chickpeas,0000000162,Food - Snacks,2026-04-25,"CoreLogic, Inc.",638.04,510
Artisan Bread,0000000163,Food - Bakery,2026-08-10,"T. Rowe Price Group, Inc.",340.25,459
Acoustic Guitar,0000000164,Music,2025-12-28,Investors Real Estate Trust,99.93,59
Fishing Rod,0000000165,Outdoor,2025-07-24,"Superior Uniform Group, Inc.",300.12,402
Chickpea Snack Mix,0000000166,Food - Snacks,2025-05-07,"Celldex Therapeutics, Inc.",306.98,912
Chopping Board,0000000167,Kitchen,2026-05-31,"EOG Resources, Inc.",254.9,268
Chicken Sausage,0000000168,Food - Meat,2026-08-29,"Aldeyra Therapeutics, Inc.",226.11,164
Portable Solar Charger,0000000169,Electronics,2025-12-13,"Anthera Pharmaceuticals, Inc.",562.12,946
Leek and Potato Soup,0000000170,Food - Soups,2026-09-29,Sabre Corporation,998.24,894
Frozen Edamame,0000000171,Food - Frozen Foods,2025-12-06,Global Partner Acquisition Corp.,95.83,929
Ricotta Cheese,0000000172,Food - Dairy,2026-06-07,First Trust Strategic High Income Fund II,476.83,516
Vegan Cheese,0000000173,Food - Dairy Alternatives,2025-11-19,New Home Company Inc. (The),227.64,800
Organic Blueberries,0000000174,Food - Fruits,2025-06-25,Horizons NASDAQ-100 Covered Call ETF,715.28,967
Chocolate Chip Muffins,0000000175,Food - Bakery,2026-05-26,PowerShares DWA Energy Momentum Portfolio,981.73,666
Honey Lemon Tea,0000000176,Food - Beverages,2025-08-22,"PrivateBancorp, Inc.",102.92,686
Raspberry Tart,0000000177,Food - Baked Goods,2025-08-26,Hess Corporation,821.55,490
3D Night Light,0000000178,Home,2025-12-17,"Castlight Health, inc.",496.74,497
Sweet Cherry Tomatoes,0000000179,Food - Produce,2026-11-20,Annaly Capital Management Inc,453.98,494
Self-Adhesive Wallpaper,0000000180,Home,2025-08-11,Omnicom Group Inc.,116.98,605
Granola Clusters,0000000181,Food - Cereal,2025-12-22,"First Financial Northwest, Inc.",217.0,778
Fitness Resistance Bands,0000000182,Fitness,2026-04-02,iPath US Treasury Long Bond Bear ETN,601.86,575
Spicy Snack Mix,0000000183,Food - Snacks,2026-05-21,"Strata Skin Sciences, Inc.",267.21,827
Coconut Bowls Set,0000000184,Kitchen,2026-04-02,Sanofi,122.7,903
Pet Bed with Removable Cover,0000000185,Pets,2026-06-12,Fair Isaac Corporation,166.47,74
Green Tea Matcha Powder,0000000186,Food - Beverages,2026-08-26,"Willamette Valley Vineyards, Inc.",148.88,948
Peach Slices (canned),0000000187,Food - Canned Goods,2026-02-19,"Malibu Boats, Inc.",523.14,909
Electric Air Pump,0000000188,Outdoor,2025-12-19,"Groupon, Inc.",250.01,277
Pressure Cooker,0000000189,Kitchen,2025-12-12,RAIT Financial Trust,291.39,461
Organic Chia Seeds,0000000190,Food - Health Foods,2025-09-25,Xylem Inc.,45.8,905
Portable Projector,0000000191,Electronics,2026-06-06,"Synacor, Inc.",886.91,343
Blue Denim Jeans,0000000192,Clothing - Bottoms,2025-09-10,"American Axle & Manufacturing Holdings, Inc.",849.86,463
Pumpkin Spice Latte Mix,0000000193,Food - Beverages,2026-09-06,"Prudential Financial, Inc.",29.34,411
Chocolate Mint Thins,0000000194,Food - Snacks,2026-12-30,"F5 Networks, Inc.",930.08,419
Honey Glazed Carrots,0000000195,Food - Produce,2026-10-29,Great Ajax Corp.,248.27,829
Freestanding Wine Rack,0000000196,Home,2025-10-15,MagneGas Corporation,107.52,94
BBQ Jackfruit,0000000197,Food - Prepared Foods,2025-06-05,LendingClub Corporation,179.14,422
Margherita Pizza,0000000198,Food - Frozen Foods,2025-09-30,Envision Healthcare Corporation,200.45,238
Cereal Dispenser with Portion Control,0000000199,Kitchen,2025-04-15,Pegasystems Inc.,646.76,601
Yoga Blocks,0000000200,Fitness,2026-03-25,Array BioPharma Inc.,372.58,284
Dark Chocolate Covered Pretzels,0000000201,Food - Snacks,2025-07-14,TransAlta Corporation,566.27,961
Workstation Laptop Stand,0000000202,Office,2025-06-24,Stifel Financial Corporation,831.92,143
Avocado Lime Dressing,0000000203,Food - Condiments,2026-03-08,Dynegy Inc.,347.25,45
LED Disco Ball Light,0000000204,Home,2026-07-14,Nuveen Pennsylvania Quality Municipal Income Fund,930.91,929
Waffle Maker,0000000205,Kitchen,2025-07-25,Wright Medical Group N.V.,402.74,304
Organic Black Rice,0000000206,Food - Grains,2026-12-21,"Echo Global Logistics, Inc.",635.55,799
Herbed Goat Cheese,0000000207,Food - Cheese,2025-12-28,Westlake Chemical Corporation,980.88,799
Honey Butter Popcorn,0000000208,Food - Snacks,2026-03-16,Phoenix New Media Limited,56.67,162
Coconut Granola,0000000209,Food - Snacks,2026-03-30,"Tempur Sealy International, Inc.",942.43,923
Cranberry Almond Granola,0000000210,Food - Breakfast,2025-05-17,"Diamond Hill Investment Group, Inc.",304.45,433
Yoga Strap,0000000211,Fitness,2026-08-25,"Digital Realty Trust, Inc.",185.29,451
Garden Vegetable Soup,0000000212,Food - Canned Goods,2026-11-08,Invesco Mortgage Capital Inc.,530.61,29
Grass Fed Beef Patties,0000000213,Food - Meat,2026-10-08,Bank of America Corporation,386.88,427
Bicycle Repair Kit,0000000214,Outdoor,2025-07-11,"Allegiance Bancshares, Inc.",741.77,118
Classic Slim Fit Shirt,0000000215,Clothing - Shirts,2025-08-13,First Trust NASDAQ-100 Equal Weighted Index Fund,863.05,893
Home Brewing Starter Kit,0000000216,Food,2025-04-04,Kadant Inc,40.93,881
Chickpea Pancakes,0000000217,Food - Frozen,2025-07-26,Select Asset Inc.,791.61,453
Vegetarian Sausage Links,0000000218,Food - Meat Substitutes,2026-09-10,Macy's Inc,278.84,25
Sweet Cherry Tomatoes,0000000219,Food - Produce,2026-01-31,UBS AG,397.19,900
Electric Toothbrush,0000000220,Health,2026-06-17,ENSCO plc,283.79,751
A-Line Skirt,0000000221,Clothing - Bottoms,2026-08-13,Hersha Hospitality Trust,985.09,909
Italian Meatballs,0000000222,Food - Meat,2025-09-13,"LegacyTexas Financial Group, Inc.",198.53,640
Sesame Garlic Noodles,0000000223,Food - Pasta,2026-07-25,QUALCOMM Incorporated,206.21,82
Coloring Books for Adults,0000000224,Books,2026-10-06,"PrivateBancorp, Inc.",827.82,342
Underwater Camera,0000000225,Photography,2025-07-27,"Scripps Networks Interactive, Inc",203.36,993
Thermostatic Shower Valve Kit,0000000226,Bathroom,2026-01-30,"NantKwest, Inc.",427.37,322
Dried Mango Slices,0000000227,Food - Snacks,2025-06-17,ABB Ltd,317.8,914
Bamboo Cotton Tank Top,0000000228,Clothing - Tops,2025-10-21,MagnaChip Semiconductor Corporation,348.81,271
Sweet Chili Sauce,0000000229,Food - Condiments,2026-05-02,CYREN Ltd.,128.59,96
Fitbit Activity Tracker,0000000230,Fitness,2025-04-09,Capital Bank Financial Corp.,593.99,842
Herb Garlic Butter,0000000231,Food - Condiments,2026-05-04,Cott Corporation,860.68,600
Veggie Lovers Pizza,0000000232,Food - Frozen Foods,2026-04-08,VictoryShares US Discovery Enhanced Volatility Wtd ETF,47.23,316
Magnetic Phone Car Mount,0000000233,Automotive,2025-12-12,Invesco Senior Income Trust,563.17,986
Smartphone Tripod with Remote,0000000234,Photography,2025-07-01,Community West Bancshares,542.38,189
Gluten-Free Pancake Mix,0000000235,Food - Baking Goods,2026-07-17,"Cardinal Health, Inc.",575.78,390
Chicken Sausage,0000000236,Food - Meat,2025-11-01,"Computer Programs and Systems, Inc.",36.2,479
Tandoori Chicken Marinade,0000000237,Food - Condiments,2026-10-17,Nuveen High Income November 2021 Target Term Fund,208.23,411
Collapsible Pet Dog Bowl,0000000238,Pets,2025-11-14,"Sun Communities, Inc.",197.93,930
Herbal Tea Infuser,0000000239,Kitchen,2026-12-24,Prudential Public Limited Company,944.64,659
Home Cleaning Robot,0000000240,Home Appliances,2025-07-12,"Rambus, Inc.",890.85,944
Digital Kitchen Timer,0000000241,Kitchen,2025-11-08,"Energy XXI Gulf Coast, Inc.",367.63,565
Crispy Chickpeas,0000000242,Food - Snacks,2025-11-23,iShares S&P Emerging Markets Infrastructure Index Fund,917.09,721
Vegan Tacos,0000000243,Food - Frozen Foods,2026-12-27,Forestar Group Inc,119.05,677
Chilli Lime Corn on the Cob,0000000244,Food - Vegetable,2026-03-25,Capital One Financial Corporation,455.52,88
Pesto Pasta Sauce,0000000245,Food - Sauces,2025-12-18,"Prudential Financial, Inc.",439.69,954
Multi-Purpose Plant Care Tool,0000000246,Garden,2025-07-01,Cherry Hill Mortgage Investment Corporation,21.43,411
Rice Cakes,0000000247,Food - Snacks,2026-03-17,"Digital Realty Trust, Inc.",670.19,276
Smart Plug,0000000248,Smart Home,2025-08-30,WisdomTree Middle East Dividend Fund,969.09,54
Chocolate Chip Pancake Mix,0000000249,Food - Bakery,2025-08-24,Hersha Hospitality Trust,92.04,557
Vegetable Spring Rolls,0000000250,Food - Frozen Foods,2025-06-07,American National Insurance Company,650.3,788
Vegetable Lentil Soup,0000000251,Food - Canned Goods,2026-09-09,"Under Armour, Inc.",434.59,939
USB Flash Drive,0000000252,Storage,2026-07-07,Gladstone Investment Corporation,35.6,345
Cherry Almond Protein Bar,0000000253,Food - Snacks,2025-07-07,Summit State Bank,466.19,576
Classic Beef Chili,0000000254,Food - Canned Goods,2026-06-08,First Trust Latin America AlphaDEX Fund,464.56,261
Roasted Garlic Butter,0000000255,Food - Condiments,2026-06-19,Comp En De Mn Cemig ADS,164.77,655
Coconut Cream,0000000256,Food - Baking & Cooking,2026-04-08,First Trust Total US Market AlphaDEX ETF,533.95,45
Organic Ramen Noodles,0000000257,Food - Pasta,2026-08-04,"Prestige Brand Holdings, Inc.",378.76,397
Spinach and Feta Stuffed Chicken Breast,0000000258,Food - Meat,2026-11-23,Pacific Gas & Electric Co.,318.81,948
Pasta Portion Control Measure,0000000259,Kitchen,2026-02-09,Inseego Corp.,391.38,525
Frozen Hash Browns,0000000260,Food - Frozen Foods,2026-09-30,Pentair plc.,560.96,492
Vegetable Lentil Soup,0000000261,Food - Canned Goods,2025-10-26,8point3 Energy Partners LP,949.87,733
Ginger Turmeric Shots,0000000262,Food - Beverages,2026-09-04,PowerShares DWA Tactical Sector Rotation Portfolio,641.94,797
Adjustable Stand for Tablets and Smartphones,0000000263,Electronics,2025-06-17,Steel Partners Holdings LP,568.78,418
Pumpkin Spice Creamer,0000000264,Food - Beverages,2025-08-11,Public Storage,217.04,216
Pet Nail Clipper,0000000265,Pets,2025-09-12,"Superior Energy Services, Inc.",918.08,818
Rice Pilaf Mix,0000000266,Food - Grains,2026-07-09,"Quanta Services, Inc.",986.0,214
Mango Sticky Rice Dessert,0000000267,Food - Frozen Desserts,2025-10-17,Markel Corporation,392.13,927
Electric Rice Cooker,0000000268,Kitchen,2026-07-02,"Customers Bancorp, Inc",921.79,42
Summer Tank Dress,0000000269,Clothing - Dresses,2025-10-16,EPR Properties,931.11,306
Siphon Coffee Maker,0000000270,Kitchen,2025-06-03,"LogMein, Inc.",575.32,262
Smart Home Hub,0000000271,Smart Home,2026-01-07,Citigroup Inc.,89.63,627
Cotton Pajama Set,0000000272,Clothing - Loungewear,2026-06-20,"SkyWest, Inc.",509.47,432
Honey Mustard Dip,0000000273,Food - Condiments,2025-10-22,"China Information Technology, Inc.",414.72,296
Coconut Almond Granola,0000000274,Food - Breakfast,2026-11-27,Dominion Diamond Corporation,99.97,722
Solar Power Bank,0000000275,Electronics,2026-06-18,Marriott International,3.14,639
Nut Mix,0000000276,Food - Snacks,2025-08-10,First Trust Rising Dividend Achievers ETF,296.78,85
BBQ Lentil Chips,0000000277,Food - Snacks,2026-01-09,"Novus Therapeutics, Inc.",824.05,277
Quinoa & Black Bean Salad,0000000278,Food - Salads,2026-11-03,Luminex Corporation,331.99,708
